beer;beer;cerveza;bier;öl;bira;bier;cerveja;bière;birra;piwo;pivo;
ale;ale;cerveza inglesa;ale;ale;bira;ale;cerveja;ale;ale;ale;ale;
altbier;altbier;altbier;altbier;altbier;altbier;altbier;altbier;altbier;altbier;altbier;altbier;
amber ale;amber ale;ámbar ale;amber ale;amber ale;amber ale;amber ale;âmbar cerveja;ale ambre;ambra ale;amber piwo;amber pivo;
berliner weisse;berliner weisse;weisse berliner;berliner weisse;berliner weisse;berliner weisse;berliner weiße;berliner weisse;berliner weisse;berliner weisse;berliner weisse;berliner weisse;
bière de garde;bière de garde;bière de garde;bière de garde;bière de garde;bière de garde;bière de garde;bière de garde;bière de garde;bière de garde;bière de garde;bière de garde;
bitter;bitter;amargo;bitter;bitter;ac?;bitter;amargo;amer;amaro;gorzki;ho?ký;
blonde ale;blonde ale;blonde ale;blond ale;blonde ale;sar???n ale;blonde ale;ale loira;ale blonde;ale blonde;blond ale;blonde ale;
bock;bock;bock;bock;bock;siyah bira;bock;cerveja forte escura;bock;bock;bock;bock;
brown ale;brown ale;ale brown;brown ale;brown ale;brown ale;malzbier;ale brown;bière brune;ale brown;brown ale;brown pivo;
california common;california common;california common;california common;kalifornien gemensamma;california ortak;gemeinsame kalifornien;califórnia comum;californie commune;california common;california common;california common;
cream ale;cream ale;ale cream;cream ale;grädde ale;krem ale;creme ale;creme ale;cream ale;cream ale;ale krem;krém ale;
doppelbock;doppelbock;doppelbock;doppelbock;doppelbock;doppelbock;doppelbock;doppelbock;doppelbock;doppelbock;doppelbock;doppelbock;
dortmunder export;dortmunder export;dortmunder export;dortmunder export;dortmunder export;dortmunder ihracat;dortmunder export;dortmunder export;dortmunder export;dortmunder export;dortmunder export;dortmunder export;
dunkel;dunkel;dunkel;dunkel;dunkel;dunkel;dunkel;dunkel;dunkel;dunkel;dunkel;dunkel;
dunkelweizen;dunkelweizen;dunkelweizen;dunkelweizen;dunkelweizen;dunkelweizen;dunkelweizen;dunkelweizen;dunkelweizen;dunkelweizen;dunkelweizen;dunkelweizen;
eisbock;eisbock;eisbock;eisbock;eisbock;eisbock;eisbock;eisbock;eisbock;eisbock;eisbock;eisbock;
golden ale;golden ale;golden ale;golden ale;golden ale;alt?n ale;goldene ale;ale dourada;or ale;oro ale;ale z?oty;golden ale;
gose;gose;gose;gose;gose;gose;gose;gose;gose;gose;gose;gose;
gueuze;gueuze;gueuze;geuze;gueuze;gueuze'si;gueuze;gueuze;gueuze;gueuze;gueuze;gueuze;
hefeweizen;hefeweizen;hefeweizen;hefeweizen;hefeweizen;hefeweizen;hefeweizen;hefeweizen;hefeweizen;hefeweizen;hefeweizen;hefeweizen;
helles;helles;helles;helles;helles;helles;helles;helles;helles;helles;helles;helles;
